# Starting test run
x y points n_ticks consumed_balls
389 320 32 2566 16
57 545 28 5123 14
596 364 28 3320 14
323 516 20 1998 10
425 290 28 3036 14
12 599 0 1000 0
627 488 14 3274 7
173 88 20 4309 10
43 534 24 3411 12
230 582 8 2021 4
89 562 22 4684 11
647 186 28 2550 14
438 50 24 2709 12
81 392 14 2289 7
413 501 30 2663 15
35 49 20 3477 10
391 315 20 3459 10
309 196 12 2374 6
606 326 20 3120 10
697 201 22 2738 11
424 382 30 3930 15
779 566 22 3806 11
28 248 18 2098 9
660 465 24 4626 12
522 406 28 2450 14
554 599 0 1000 0
557 100 34 4242 16
714 98 22 2484 11
374 529 36 5151 16
223 460 31 4147 15
449 449 20 2407 10
546 136 28 4248 14
738 289 30 4273 15
171 285 20 3128 10
753 146 33 6188 15
69 263 32 4289 16
791 392 2 1041 1
283 68 28 5059 14
115 162 25 3055 12
380 195 33 3100 16
582 528 26 4107 13
501 410 20 2216 10
87 435 24 3032 12
63 539 24 5180 12
610 336 26 3449 13
608 352 28 3487 14
336 49 6 1773 3
565 250 32 1814 16
181 584 0 1000 0
261 423 28 2721 14
109 11 26 4026 13
720 137 20 2300 10
631 67 22 2197 11
661 78 30 3988 15
401 469 28 2654 14
686 301 26 3598 13
688 530 30 3880 15
737 81 10 2563 5
361 402 18 2950 9
388 517 12 2511 6
170 472 22 3195 11
629 540 20 2676 10
223 9 28 4789 13
565 110 31 3195 15
578 98 20 2180 10
481 448 22 3790 11
277 47 30 5053 15
495 557 24 4089 12
738 581 35 3331 16
781 460 12 1833 6
425 481 20 4273 10
363 220 26 3831 13
428 481 32 3068 16
40 22 14 3731 7
695 527 28 3653 14
753 316 26 4499 13
69 292 26 3744 13
501 14 18 3900 9
200 305 18 2068 9
464 165 33 2941 15
53 323 26 3848 13
384 377 18 2440 9
601 427 24 3844 12
488 37 24 3867 12
539 110 28 3003 14
250 346 30 3042 15
322 343 24 2777 12
705 217 26 2759 13
56 475 18 4136 9
509 201 26 2337 13
157 204 26 3010 13
401 330 30 3114 15
488 53 26 4202 13
31 401 20 2824 10
480 400 24 2397 12
349 115 28 4885 14
641 141 30 4296 15
621 93 24 3348 12
77 460 24 4909 12
638 46 16 2443 8
204 426 29 4132 14
679 476 26 3747 13
568 459 30 3991 15
373 175 24 3174 12
483 488 28 4241 14
764 496 22 3727 11
523 562 24 4886 12
420 390 26 3123 13
207 171 22 3865 11
611 577 0 1000 0
429 101 27 2759 13
357 305 20 3679 10
764 509 18 3164 9
208 164 28 2233 14
686 119 28 3147 14
414 109 24 2673 12
564 383 20 2947 10
253 202 24 2759 12
129 597 18 4087 9
659 492 22 3506 11
385 244 18 3721 9
674 307 22 2394 11
665 238 26 3472 13
535 145 30 4630 15
757 355 32 4056 16
626 589 10 1709 5
784 134 29 4665 14
409 44 30 5181 14
221 337 24 3086 12
715 61 27 5102 13
327 89 26 3125 13
211 59 24 4136 12
720 580 24 5304 12
100 320 20 2778 10
520 376 24 2855 12
416 105 28 3082 14
196 264 22 2850 11
460 546 26 3071 13
731 243 25 4714 12
209 429 24 3014 12
255 310 24 4281 12
665 307 29 3714 14
186 319 30 4171 15
248 503 26 3597 13
2 231 26 4921 13
632 264 28 2830 14
243 298 32 3965 16
545 478 22 2774 11
541 383 31 5038 15
250 342 30 3650 15
327 382 28 4448 13
464 382 24 2397 12
713 544 22 3401 11
594 485 28 4143 14
691 355 28 2938 14
252 128 30 2644 15
297 388 29 4113 14
411 22 29 4382 14
280 222 31 5952 15
577 295 20 2994 10
401 515 24 5678 11
380 316 26 3173 13
754 486 10 2076 5
203 535 18 2748 9
34 517 18 3778 9
215 115 20 2668 10
47 14 22 3655 11
480 521 18 2469 9
255 523 12 4534 6
626 159 28 4168 14
462 300 26 3004 13
796 316 35 4304 15
279 341 30 3691 15
8 463 29 5748 12
720 537 31 5353 15
780 298 31 3954 15
105 318 8 2471 4
527 428 22 2555 11
123 556 16 2238 8
413 271 26 2988 13
210 293 16 3907 8
15 579 12 3318 6
