# Starting test run
x y points n_ticks consumed_balls
503 72 76009 1220 987
52 174 90298 1265 984
216 407 26613 1175 983
787 333 214095 1170 980
583 405 29261 1225 980
482 221 28500 1166 977
349 150 27439 1185 991
607 593 73505 1211 990
469 303 17397 1248 984
480 199 23120 1156 988
434 20 89301 1252 989
299 359 16664 1252 967
692 421 54540 1309 976
147 136 66688 1214 991
796 40 129089 1279 977
321 599 56063 1248 975
714 204 72192 1287 983
180 227 63096 1283 988
139 518 84515 1218 983
438 168 27925 1193 985
482 66 38440 1229 987
122 56 114042 1207 986
117 239 46599 1186 984
638 248 54482 1210 984
655 433 64459 1231 991
402 521 61153 1162 984
469 12 83603 1219 973
223 297 41684 1277 988
572 46 59033 1327 985
244 183 30313 1260 985
756 588 133922 1150 982
596 21 78641 1195 982
666 437 46054 1275 981
245 389 16413 1173 979
4 157 114901 1385 988
359 72 37049 1237 990
482 88 25750 1207 985
103 90 72596 1224 990
789 261 136794 1311 979
683 254 56454 1179 982
344 574 35955 1283 993
497 187 18304 1212 982
84 273 45777 1273 989
363 282 24365 1195 987
146 388 43986 1286 985
400 157 17781 1223 989
11 292 97795 1187 981
365 600 44254 1153 986
485 192 17956 1174 986
666 588 95276 1155 978
20 326 115529 1252 988
797 518 784152 1279 982
622 35 139354 1319 985
783 596 216222 1213 988
310 442 25455 1232 980
5 502 112029 1291 987
793 191 245678 1159 988
150 178 56592 1196 985
780 278 76076 1221 987
65 397 99033 1244 987
614 38 58840 1235 992
636 529 55520 1168 987
715 89 82783 1162 984
483 303 14041 1186 984
286 208 21206 1248 982
776 229 66573 1205 985
407 286 19342 1180 987
569 275 29819 1246 985
355 388 19230 1262 986
84 177 90527 1282 987
630 322 31851 1220 982
361 156 28499 1200 992
662 167 88199 1228 985
517 348 26930 1193 986
165 291 29544 1212 981
15 459 196225 1140 958
738 470 68199 1286 985
683 566 84507 1216 987
418 412 23459 1230 983
359 48 44897 1204 987
386 150 17907 1304 986
42 592 144733 1319 989
787 381 163806 1364 985
794 236 108072 1264 988
102 587 245114 1239 981
417 30 35475 1170 972
632 537 37808 1229 991
319 518 35112 1218 991
311 543 36035 1222 985
22 344 149427 1180 986
492 247 16113 1242 987
738 453 104237 1235 990
266 209 24940 1194 977
82 464 67659 1221 985
340 222 35014 1215 986
109 144 60871 1214 990
349 112 28262 1266 985
679 432 49283 1199 994
73 562 82046 1181 987
353 488 39714 1184 983
681 322 30032 1256 985
38 537 67722 1227 981
136 599 90562 1245 985
236 257 42276 1326 987
204 158 41291 1203 972
402 594 54909 1168 991
573 312 24403 1236 987
395 434 36789 1216 986
459 260 19360 1208 979
12 219 73408 1187 986
360 111 27037 1149 974
26 38 219919 1214 988
287 588 53719 1217 992
328 77 75114 1352 987
627 207 33669 1198 980
495 592 42394 1181 987
151 454 63238 1221 985
667 350 42060 1280 985
135 466 43249 1148 980
515 38 36301 1218 985
511 215 25954 1181 987
483 410 25499 1187 988
731 376 124164 1538 984
543 63 78672 1251 988
557 266 23423 1188 973
775 274 69416 1180 984
366 202 34196 1186 979
284 0 36326 1157 985
240 52 74642 1420 986
182 571 81227 1393 990
344 204 20315 1325 988
223 511 38733 1176 987
6 471 133065 1197 991
111 230 31601 1297 988
358 199 24821 1163 985
32 49 198471 1155 991
576 216 30402 1197 980
556 104 49088 1245 979
559 483 37026 1284 991
164 341 27170 1216 985
591 584 70785 1228 981
601 455 35945 1236 987
614 146 45434 1173 983
526 531 32303 1241 982
701 401 104844 1214 981
352 26 51014 1160 984
667 491 129012 1275 990
86 399 81192 1211 988
258 264 32710 1211 989
773 598 101800 1180 988
